650	1
1850	1
2900	1
3100	2
3350	1
3850	1
5000	1
5800	1
6050	2
6800	2
7550	1
7750	2
8600	1
8800	1
9500	1
10100	1
10950	1
11200	1
12150	1
12450	2
13500	2
14100	1
15200	1
16300	1
17250	2
17900	1
18400	1
18600	2
19100	1
19950	1
20300	1
20500	1
20800	1
20950	1
21450	1
21650	1
22200	2
22450	1
22850	1
23050	1
23850	1
24000	1
24500	1
24700	1
24850	1
25000	1
25600	1
25750	1
25900	1
26250	1
26450	1
26600	1
26750	1
26950	1
27400	1
27850	1
28250	1
28400	1
30100	1
30950	1
31200	1
32150	1
32450	2
33500	2
34100	1
35200	1
36300	1
37250	2
37900	1
38400	1
38600	2
39100	1
39950	1
